Ingredient,Total Fat,Saturated Fat,Cholesterol,Carbohydrate,Sodium,Fiber,Sugar,Protein,Vitamin A,Vitamin C,Calcium,Iron,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Biotin,Pantothenic Acid,Phosphorus,Iodine,Magnesium,Zinc,Selenium,Copper,Manganese,Chromium,Molybdenum,Chloride,Potassium,Choline
bacon,64.1,89.5,23.67,0.0,34.17,0.0,0.0,14.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
banana,8.01,0.0,0.0,14.76,25.83,22.14,12.5,25.0,0.0,16.67,9.62,6.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basil,119.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beef,7.54,20.6,17.67,0.0,9.22,0.0,0.0,40.0,0.0,0.0,0.0,23.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beet,0.1,0.07,0.0,5.92,6.48,2.86,22.1,1.6,0.22,2.56,0.85,2.28,0.0,0.4,0.25,0.83,3.69,1.57,2.94,6.75,0.0,0.0,0.0,1.36,0.0,3.57,2.36,1.82,12.89,0.0,0.0,0.0,0.0,2.45,2.73
bell pepper,0.14,0.0,0.0,1.74,0.0,3.36,0.0,1.43,0.0,110.56,0.58,1.03,0.0,0.0,0.0,3.26,6.83,3.98,14.53,5.55,0.0,0.0,0.0,1.34,0.0,2.14,1.15,0.0,6.42,4.34,0.0,0.0,0.0,3.47,0.0
almond,67.59,21.12,0.0,7.68,10.09,34.29,8.8,41.34,0.0,0.0,20.23,22.67,0.0,110.47,0.0,7.83,71.77,24.29,4.88,10.5,0.0,0.0,0.0,40.32,0.0,63.33,28.73,1.45,107.67,0.0,0.0,0.0,0.0,15.77,9.42
apple,0.83,0.0,0.0,5.2,0.0,11.43,20.8,0.0,2.17,3.44,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0
apricot,0.0,0.0,0.0,4.91,0.26,0.0,27.0,0.0,12.27,19.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0
arugula,0.9,0.0,0.0,1.28,1.22,5.0,4.22,5.64,13.33,16.44,12.46,8.22,0.0,0.0,90.0,0.0,0.0,0.0,0.0,14.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.79,0.0
avocado,55.55,29.89,13.33,2.68,37.7,0.36,13.34,3.8,1.11,0.22,2.62,1.94,0.0,30.67,80.58,1.67,3.85,0.88,0.59,1.0,10.83,0.0,0.0,2.48,0.0,1.67,2.27,2.91,1.11,0.0,0.0,0.0,0.0,1.23,0.65
blueberry,0.0,0.0,0.0,23.64,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bread,0.0,0.0,0.0,11.67,15.39,12.86,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
butter,100.77,250.0,71.33,0.0,0.0,0.0,0.0,0.0,95.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.64,0.34,0.0,0.87,21.65,5.71,2.12,2.2,3.1,0.0,2.54,13.89,0.0,0.73,36.33,0.83,16.15,6.88,12.53,13.0,0.0,0.0,0.0,1.92,0.0,3.33,2.0,0.91,2.67,0.0,0.0,0.0,0.0,3.21,2.82
carrot,0.31,0.14,0.0,3.52,3.26,10.36,9.5,1.74,84.67,4.67,2.77,0.67,0.0,4.4,9.42,4.5,8.15,6.71,7.65,10.0,0.0,0.0,0.0,2.8,0.0,2.86,1.82,0.0,5.67,0.0,0.0,0.0,0.0,5.49,1.49
celery,0.0,0.0,0.0,1.32,4.57,6.43,3.64,0.0,6.07,9.11,2.77,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheddar,41.15,89.5,29.67,0.0,27.96,0.0,0.0,50.0,0.0,0.0,54.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,31.54,88.0,17.67,0.89,26.04,0.0,0.0,42.2,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cherry,25.64,35.0,0.0,15.27,8.7,7.14,36.0,8.0,33.33,0.0,3.08,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken,2.29,4.45,15.0,0.0,7.78,0.0,0.0,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chile pepper,7.45,4.06,0.0,25.42,3.96,102.5,82.2,21.2,146.67,34.89,3.46,33.56,0.0,20.93,90.0,6.75,92.31,54.19,47.65,12.75,0.0,0.0,19.12,12.72,0.0,20.95,9.27,6.36,25.33,35.7,0.0,0.0,0.0,39.79,15.33
chive,0.94,0.73,0.0,1.58,0.13,8.93,3.7,6.54,24.22,64.56,7.08,8.89,0.0,1.4,177.25,6.5,8.85,4.04,8.12,26.25,0.0,0.0,0.0,4.64,0.0,10.0,5.09,1.64,17.44,0.0,0.0,0.0,0.0,6.3,0.95
chocolate,56.54,103.0,0.0,17.13,1.26,10.36,94.2,5.88,0.0,0.0,0.0,23.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cilantro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cinnamon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clove,16.67,19.75,0.0,23.82,12.04,121.07,4.76,11.94,5.33,0.22,48.62,65.56,0.0,58.8,118.33,13.17,16.92,9.75,23.0,6.25,0.0,0.0,10.18,8.32,0.0,61.67,21.09,13.09,40.89,2613.04,0.0,0.0,0.0,21.7,6.8
coconut,45.77,160.5,0.0,16.87,11.35,12.86,85.8,7.14,0.0,0.0,0.0,10.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffee,30.51,71.5,35.67,7.78,4.39,0.0,38.0,4.76,29.77,0.0,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corn,0.0,0.0,0.0,4.65,10.43,2.86,12.8,1.6,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0
cornmeal,3.13,0.0,0.0,28.36,0.0,26.07,4.88,14.64,0.0,0.0,0.0,13.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85,0.0
cranberry,0.0,0.0,0.0,4.55,0.65,0.0,25.0,0.0,0.0,27.78,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cucumber,0.17,0.14,0.0,2.47,10.26,1.79,10.66,1.0,0.33,2.78,1.08,0.39,0.0,0.13,12.17,1.75,1.85,0.45,2.18,1.5,0.0,0.0,0.0,1.52,0.0,1.9,1.36,0.55,5.0,0.0,0.0,0.0,0.0,2.91,0.78
currant,0.28,0.43,0.0,27.99,1.87,15.71,124.56,6.86,0.44,5.22,6.77,10.44,0.0,0.73,2.75,13.33,10.92,10.09,17.41,2.5,0.0,0.0,0.0,7.92,0.0,8.57,3.36,1.27,33.11,0.0,0.0,0.0,0.0,16.53,1.93
curry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egg,36.92,80.0,10.67,20.98,7.65,11.43,109.0,12.82,0.0,0.0,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fennel,4.13,4.43,0.67,3.03,8.78,12.5,8.96,2.84,7.22,12.89,4.31,4.67,0.0,7.4,61.67,0.83,2.69,4.33,3.94,6.5,0.0,0.0,0.0,4.56,0.0,4.52,2.09,1.45,8.33,0.0,0.0,0.0,0.0,10.04,2.78
garlic,0.0,0.0,0.0,12.11,0.0,0.0,0.0,0.0,0.0,88.89,51.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gin,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.5,0.31,0.08,0.06,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.36,0.0,2.33,0.0,0.0,0.0,0.0,0.04,0.0
ginger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grapefruit,0.0,0.0,0.0,3.93,0.0,0.0,19.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green bean,0.0,0.0,0.0,1.5,14.0,6.07,1.66,0.0,8.27,0.0,1.31,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hazelnut,40.64,85.5,4.0,20.4,3.17,8.57,97.6,14.64,0.0,0.0,11.23,24.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
honey,0.0,0.0,0.0,29.96,0.17,0.71,164.2,0.6,0.0,0.56,0.46,2.33,0.0,0.0,0.0,0.0,2.92,0.76,1.41,0.5,0.0,0.0,1.36,0.32,0.0,0.48,2.0,1.45,4.0,3.48,0.0,0.0,0.0,1.11,0.4
jalapeño,33.21,51.5,23.0,1.25,34.48,6.07,3.44,34.4,0.0,0.0,4.0,1.89,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0
kale,1.13,0.0,0.0,3.54,1.91,6.43,0.0,7.08,516.67,135.56,10.23,8.83,0.0,0.0,690.0,0.0,9.23,6.62,15.59,7.0,0.0,0.0,0.0,4.24,0.0,8.33,0.0,0.0,29.44,43.48,0.0,0.0,0.0,9.51,0.0
leek,3.91,3.79,0.67,5.36,6.57,6.79,8.14,3.14,10.44,11.78,4.77,12.17,0.0,9.13,42.67,4.67,2.31,2.48,13.88,14.25,0.0,0.0,0.0,2.96,0.0,6.9,1.18,1.82,13.89,0.0,0.0,0.0,0.0,4.0,1.84
lemon,38.46,16.65,0.0,2.43,34.78,0.0,6.66,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon juice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lime,19.26,13.63,83.33,14.48,3.43,2.86,74.64,17.64,12.22,5.56,3.0,7.44,7.5,5.6,0.67,8.08,20.54,0.82,3.65,9.0,20.83,0.0,0.0,11.6,0.0,4.76,11.36,35.64,12.89,0.0,0.0,0.0,0.0,3.04,30.69
lime juice,0.0,0.0,0.0,2.43,0.0,0.0,6.66,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.0
liqueur,0.14,0.0,0.0,12.07,0.04,0.0,66.54,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.33,0.69,0.05,0.06,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.27,0.36,1.78,0.0,0.0,0.0,0.0,0.04,0.0
mango,0.0,0.0,0.0,30.91,0.0,17.86,120.0,5.0,0.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.62,0.0
mayonnaise,96.15,62.5,27.67,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mint,0.0,0.0,0.0,38.18,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mushroom,7.94,4.4,0.0,1.93,15.78,3.21,8.84,1.76,0.0,0.0,2.08,4.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.15,0.0
mustard,4.33,1.26,0.0,1.93,47.83,15.36,2.84,8.5,0.44,0.44,4.85,8.83,0.0,2.33,1.25,15.75,5.08,3.51,4.06,1.75,0.0,0.0,0.0,8.64,0.0,11.43,5.82,61.82,8.22,0.0,0.0,0.0,0.0,3.19,4.07
nutmeg,128.21,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oat,2.99,0.94,0.0,1.95,1.87,1.79,4.08,1.32,0.0,0.0,11.92,1.17,8.5,2.47,1.25,1.92,0.62,0.35,0.29,0.5,20.83,0.0,0.0,1.6,0.0,1.9,1.73,2.73,3.22,0.0,0.0,0.0,0.0,0.38,0.36
olive,38.53,24.26,0.0,1.52,36.3,6.43,0.32,1.46,1.56,0.44,4.62,18.89,0.0,40.93,5.25,0.67,0.15,0.56,0.82,0.25,0.0,0.0,0.0,0.24,0.0,1.19,1.09,1.27,18.0,0.0,0.0,0.0,0.0,0.36,1.73
onion,1.0,0.0,0.0,21.6,18.7,8.21,14.06,21.8,2.6,0.0,1.23,19.56,0.0,0.0,0.0,83.33,25.54,29.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orange,0.0,0.0,0.0,32.91,16.57,0.0,181.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parsley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pasta,2.29,0.0,0.0,28.58,0.0,12.86,7.14,25.0,0.0,0.0,0.0,17.83,0.0,0.0,0.0,83.33,23.38,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peach,28.46,22.2,22.33,19.38,14.96,7.86,57.8,8.88,7.4,5.89,1.69,8.89,0.0,0.0,0.0,0.0,11.62,11.12,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pear,0.19,0.11,0.0,5.52,0.13,11.07,19.46,0.74,0.11,4.78,0.69,1.0,0.0,0.8,3.5,1.0,2.0,1.01,1.65,1.75,0.0,0.0,0.0,0.88,0.0,1.67,0.82,0.18,8.56,0.0,0.0,0.0,0.0,2.21,0.93
pecan,92.31,30.9,0.0,5.05,0.0,34.29,7.94,18.34,1.87,1.22,5.38,14.06,0.0,9.33,2.92,55.0,10.0,7.31,12.35,5.5,0.0,0.0,17.26,22.16,0.0,28.81,41.18,6.91,133.33,195.65,0.0,0.0,0.0,8.72,7.36
pepper,0.0,0.0,0.0,24.25,0.0,118.93,0.0,0.0,6.33,23.33,33.62,160.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pine nut,87.65,24.5,0.0,4.76,0.09,13.21,7.18,27.38,0.11,0.89,1.23,30.72,0.0,62.2,44.92,30.33,17.46,27.42,5.53,8.5,0.0,0.0,0.0,46.0,0.0,59.76,58.64,1.27,147.11,0.0,0.0,0.0,0.0,12.7,10.15
pineapple,0.0,0.0,0.0,28.58,0.78,15.36,128.6,0.0,0.0,0.0,2.77,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pistachio,59.87,33.35,0.0,9.71,16.65,35.71,13.34,40.0,11.1,4.44,10.23,26.67,0.0,0.0,0.0,0.0,0.0,0.0,58.82,0.0,0.0,0.0,0.0,40.0,0.0,47.62,0.0,0.0,147.78,0.0,0.0,0.0,0.0,0.0,0.0
pork,5.28,11.75,25.33,0.43,9.22,0.0,0.0,42.4,0.0,0.0,0.0,7.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potato,14.51,15.56,24.67,4.91,9.52,5.36,2.96,7.78,7.11,0.56,2.54,4.17,2.5,10.4,6.67,8.92,11.0,6.2,5.47,4.75,11.67,0.0,0.0,6.16,0.0,3.1,4.0,11.45,2.0,0.0,0.0,0.0,0.0,4.66,9.76
raisin,5.44,0.0,0.0,19.09,15.48,12.14,34.0,20.4,0.0,6.78,2.62,16.94,0.0,0.0,0.0,0.0,22.15,21.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raspberry,0.0,0.0,0.0,4.84,0.35,0.0,25.8,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,0.0
rice,3.12,0.0,0.0,9.6,20.22,5.0,2.78,6.94,2.3,2.78,2.15,10.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rum,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.5,0.31,0.08,0.06,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.36,0.0,2.33,0.0,0.0,0.0,0.0,0.04,0.0
salad dressing,42.69,8.35,0.0,1.21,37.7,0.0,0.0,0.0,0.0,8.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salmon,10.19,6.6,15.33,0.96,14.39,2.5,0.0,30.4,4.4,0.89,1.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sausage,22.18,26.65,13.33,4.36,87.39,4.64,0.0,21.4,4.43,1.78,2.08,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shallot,0.13,0.09,0.0,6.11,0.52,11.43,15.74,5.0,0.13,8.89,2.85,6.67,0.0,0.27,0.67,5.0,1.54,1.25,20.29,8.5,0.0,0.0,5.8,4.8,0.0,5.0,3.64,2.18,9.78,12.7,0.0,0.0,0.0,7.11,2.05
shrimp,0.0,0.0,37.33,0.0,21.48,0.0,0.0,23.6,0.0,0.0,5.46,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sour cream,21.41,58.5,22.33,2.43,2.91,0.0,6.66,6.66,0.0,0.0,10.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96,0.0
soy sauce,0.73,0.36,0.0,1.79,238.83,2.86,0.8,16.28,0.0,0.0,2.54,8.06,0.0,0.0,0.0,2.75,12.69,13.73,8.71,3.5,0.0,0.0,0.0,13.28,0.0,17.62,7.91,0.91,4.78,0.0,0.0,0.0,0.0,9.26,3.33
spinach,0.0,0.0,0.0,1.28,3.57,8.57,0.0,7.06,215.67,31.33,7.23,17.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strawberry,0.0,0.0,0.0,41.09,2.91,35.71,193.4,6.66,0.0,0.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tarragon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tea,0.0,0.0,0.0,3.08,0.09,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
