Ingredient,Total Fat,Saturated Fat,Cholesterol,Carbohydrate,Sodium,Fiber,Sugar,Protein,Vitamin A,Vitamin C,Calcium,Iron,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Biotin,Pantothenic Acid,Phosphorus,Iodine,Magnesium,Zinc,Selenium,Copper,Manganese,Chromium,Molybdenum,Chloride,Potassium,Choline
thyme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,20.77,51.65,30.67,8.11,2.65,0.0,41.3,7.0,20.22,0.0,9.0,1.89,1.5,3.4,1.08,3.42,12.85,0.51,2.65,2.0,16.25,0.0,0.0,8.4,0.0,2.62,4.27,6.36,0.89,0.0,0.0,0.0,0.0,3.34,4.73
vinegar,0.0,0.0,0.0,0.34,0.22,0.0,0.8,0.0,0.0,0.0,0.54,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,1.19,0.36,0.18,0.89,0.0,0.0,0.0,0.0,1.55,0.0
vodka,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.5,0.31,0.08,0.06,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.36,0.0,2.33,0.0,0.0,0.0,0.0,0.04,0.0
walnut,48.59,60.5,5.67,13.78,2.26,24.64,55.2,20.6,0.0,0.0,15.92,20.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
white wine,0.0,0.0,0.0,0.95,0.22,0.0,1.92,0.14,0.0,0.0,0.69,1.5,0.0,0.0,0.33,0.42,1.15,0.68,2.94,0.25,0.0,0.0,0.0,1.44,0.0,2.38,1.09,0.18,0.44,0.0,0.0,0.0,0.0,1.51,0.78
wine,0.0,0.0,0.0,0.59,0.48,0.0,0.94,0.08,0.0,0.0,0.54,1.22,0.0,0.0,0.0,0.25,1.08,0.62,1.88,0.25,0.0,0.0,0.0,0.96,0.0,1.67,1.09,0.18,0.78,0.0,0.0,0.0,0.0,1.28,0.55
zucchini,0.0,0.0,0.0,1.53,0.0,3.93,6.32,2.1,0.0,14.0,1.62,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72,0.0
turkey,1.63,2.1,11.33,2.47,22.65,4.64,3.38,19.5,17.67,0.0,3.23,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anise,20.38,2.93,0.0,18.18,0.7,52.14,0.0,35.2,10.37,23.33,49.69,205.56,0.0,0.0,0.0,28.33,22.31,19.12,38.24,2.5,0.0,0.0,15.94,35.2,0.0,40.48,48.18,9.09,101.11,100.0,0.0,0.0,0.0,30.64,0.0
artichoke,0.44,0.4,0.0,4.35,2.61,20.36,1.98,5.78,0.11,8.22,1.62,3.39,0.0,1.27,12.33,4.17,6.85,6.94,4.76,22.25,0.0,0.0,0.0,5.84,0.0,10.0,3.64,0.36,14.11,0.0,0.0,0.0,0.0,6.09,6.25
asparagus,0.0,0.0,0.0,1.28,0.0,8.57,4.7,4.7,0.0,0.0,1.85,13.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0
bean,4.74,2.65,0.0,5.78,19.26,17.5,1.98,10.88,0.0,0.67,2.0,8.89,0.0,6.07,1.42,7.5,7.69,2.69,6.76,5.25,0.0,0.0,0.0,8.4,0.0,9.52,6.27,14.0,21.78,0.0,0.0,0.0,0.0,7.83,2.96
beer,0.0,0.0,0.0,1.29,0.17,0.0,0.0,0.92,0.0,0.0,0.31,0.11,0.0,0.0,0.0,0.42,1.92,3.21,2.71,1.5,0.83,0.0,0.0,1.12,0.0,1.43,0.09,1.09,0.56,0.0,0.0,0.0,0.0,0.57,1.84
berry,0.44,0.11,0.0,4.53,0.04,14.64,13.18,1.52,0.33,19.33,1.31,3.06,0.0,4.67,9.67,2.42,3.08,4.36,3.0,5.0,0.0,0.0,0.0,1.6,0.0,3.33,1.55,0.73,7.11,0.0,0.0,0.0,0.0,2.64,1.44
blue cheese,22.95,62.5,18.0,1.3,59.13,12.86,7.14,42.8,35.67,0.0,41.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
broccoli,0.0,0.0,0.0,1.71,1.04,12.5,2.36,4.7,0.0,0.0,4.54,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51,0.0
butternut squash,0.0,0.0,0.0,4.29,0.0,8.57,4.7,2.36,353.33,23.56,3.62,4.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cake,30.13,53.0,8.0,20.55,18.43,0.0,87.0,7.06,0.0,0.0,1.85,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
capers,0.0,0.0,0.0,1.21,90.0,0.0,6.66,13.34,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cauliflower,0.0,0.0,0.0,1.71,1.04,8.57,4.7,4.7,0.0,0.0,1.85,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
chickpea,7.69,5.0,0.0,22.18,1.04,60.71,22.0,38.0,1.67,4.0,7.69,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clam,10.13,11.1,8.33,3.75,19.74,3.57,3.6,23.6,7.33,17.67,3.31,6.89,1.0,4.73,6.92,13.08,8.08,13.74,8.59,4.75,168.33,0.0,0.0,12.4,0.0,4.76,7.09,38.36,8.0,0.0,0.0,0.0,0.0,3.94,7.67
crab,0.95,1.0,32.33,0.0,17.17,0.0,0.0,35.76,0.11,3.67,7.0,2.78,0.0,12.27,0.25,1.92,7.15,17.17,9.18,12.75,138.75,0.0,0.0,18.72,0.0,8.57,34.64,78.0,90.44,0.0,0.0,0.0,0.0,5.51,14.71
cream cheese,41.15,107.0,29.67,3.89,11.65,0.0,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dairy,4.27,10.4,5.0,1.67,2.0,0.0,9.16,6.66,4.17,0.56,8.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
date,0.5,0.16,0.0,27.28,0.09,28.57,126.7,4.9,0.0,0.44,3.0,5.67,0.0,0.33,2.25,4.33,5.08,7.96,9.71,4.75,0.0,0.0,0.0,4.96,0.0,10.24,2.64,5.45,22.89,0.0,0.0,0.0,0.0,13.96,1.15
eggplant,19.21,10.94,0.0,2.96,9.09,13.93,5.62,9.6,0.78,7.89,2.69,9.39,0.0,4.8,20.25,19.17,9.46,10.15,11.47,9.75,0.0,0.0,0.0,13.12,0.0,19.76,12.36,17.64,43.78,0.0,0.0,0.0,0.0,5.62,2.0
endive,0.26,0.24,0.0,1.22,0.96,11.07,0.5,2.5,72.33,7.22,4.0,4.61,0.0,2.93,192.5,6.67,5.77,2.5,1.18,35.5,0.0,0.0,18.0,2.24,0.0,3.57,7.18,0.36,11.0,18.26,0.0,0.0,0.0,6.68,3.05
feta,36.67,125.0,0.0,3.89,29.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fig,0.0,0.0,0.0,23.64,0.22,0.0,130.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.0
fish,20.77,18.65,9.33,7.89,17.48,5.36,3.3,22.0,0.6,0.0,1.23,4.67,0.12,45.87,3.92,10.17,8.92,9.62,4.59,6.0,40.0,0.0,5.44,15.28,0.0,5.95,3.82,28.55,6.56,7.91,0.0,0.0,0.0,3.94,7.78
goat cheese,41.15,107.0,32.0,0.0,29.52,0.0,0.0,50.0,59.67,4.78,54.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green onion,0.24,0.16,0.0,2.67,0.7,9.29,4.66,3.66,5.56,20.89,5.54,8.22,0.0,3.67,172.5,4.58,6.15,3.28,3.59,16.0,0.0,0.0,0.0,2.96,0.0,4.76,3.55,1.09,9.22,0.0,0.0,0.0,0.0,5.87,1.04
ham,4.96,6.42,18.0,0.57,49.96,0.0,3.08,38.08,1.44,0.0,0.62,4.67,3.5,1.47,0.0,35.5,14.69,37.84,24.18,0.25,16.67,0.0,0.0,22.08,0.0,4.76,16.73,61.45,13.78,0.0,0.0,0.0,0.0,7.89,13.75
horseradish,0.88,0.45,0.0,4.11,18.26,11.79,15.98,2.36,0.0,27.67,4.31,2.33,0.0,0.07,1.08,0.67,1.85,2.41,4.29,14.25,0.0,0.0,0.0,2.48,0.0,6.43,7.55,5.09,6.44,0.0,0.0,0.0,0.0,5.23,1.18
hot pepper,32.05,107.0,35.67,2.6,49.57,0.0,0.0,42.8,35.67,0.0,41.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jam,0.09,0.05,0.0,25.04,1.39,3.93,97.0,0.74,0.0,9.78,1.54,2.72,0.0,0.8,0.0,1.33,5.85,0.22,1.18,2.75,0.0,0.0,0.0,1.52,0.0,0.95,0.55,3.64,11.11,0.0,0.0,0.0,0.0,1.64,1.85
lentil,7.24,6.44,0.0,4.48,16.65,12.14,6.42,7.36,4.11,8.56,1.92,7.89,0.0,9.4,7.17,5.83,4.77,5.04,7.71,15.75,0.42,0.0,0.0,6.24,0.0,5.48,5.36,2.73,17.11,0.0,0.0,0.0,0.0,6.21,3.47
lettuce,0.13,0.13,0.0,1.34,1.0,4.64,2.2,1.84,33.56,8.89,2.38,1.44,0.0,1.13,61.58,5.5,4.92,2.02,3.65,9.5,0.0,0.0,0.0,1.84,0.0,2.62,2.36,1.09,4.44,0.0,0.0,0.0,0.0,5.3,1.91
maple syrup,0.0,0.0,0.0,31.53,0.09,0.0,173.4,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02,0.0
milk,2.72,6.35,2.67,1.85,2.39,0.0,10.16,6.78,7.07,1.11,9.77,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
molasses,0.13,0.09,0.0,27.17,1.61,0.0,149.44,0.0,0.0,0.0,15.77,26.22,0.0,0.0,0.0,3.42,0.15,5.81,39.41,0.0,0.0,0.0,0.0,2.48,0.0,57.62,2.64,32.36,54.11,0.0,0.0,0.0,0.0,31.15,2.42
mozzarella,32.05,71.5,23.67,1.3,7.78,0.0,0.0,42.8,23.8,0.0,41.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,3.64,2.69,11.67,1.7,15.74,0.0,0.0,30.12,6.44,9.0,2.54,27.78,0.0,4.67,0.08,14.33,19.46,12.03,3.35,10.0,537.92,0.0,0.0,19.92,0.0,10.24,18.36,103.09,13.22,0.0,0.0,0.0,0.0,8.62,14.96
noodle,6.79,0.0,0.0,6.91,0.0,5.0,3.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oregano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parmesan,35.64,77.0,28.67,5.05,78.26,0.0,0.14,56.8,32.47,0.0,65.62,2.72,2.5,3.53,5.92,2.17,27.54,0.5,4.76,1.5,58.33,0.0,9.0,50.16,0.0,8.1,38.18,62.55,4.44,3.09,0.0,0.0,0.0,3.83,2.56
parsnip,3.64,3.57,0.67,5.99,5.7,12.5,9.3,2.58,1.22,14.0,2.77,3.11,0.0,9.0,2.58,6.67,3.85,4.38,6.24,14.0,0.0,0.0,0.0,5.36,0.0,6.67,2.27,2.91,14.89,0.0,0.0,0.0,0.0,7.57,4.8
pea,18.09,26.45,0.0,22.62,13.04,13.57,28.22,28.22,8.56,0.0,9.46,21.11,0.0,15.4,41.92,51.17,24.15,31.62,32.24,34.5,0.0,0.0,0.0,21.6,0.0,24.29,30.09,13.09,49.33,0.0,0.0,0.0,0.0,15.57,10.53
peanut,35.0,53.0,5.0,22.04,1.96,10.71,103.0,18.18,10.1,4.0,4.69,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phyllo pastry dough,7.69,7.35,0.0,19.13,21.0,6.79,0.36,14.2,0.0,0.0,0.85,17.83,0.0,0.53,2.08,45.08,26.23,25.44,1.76,22.0,0.0,0.0,6.04,6.0,0.0,3.57,4.45,42.36,11.22,20.7,0.0,0.0,0.0,1.57,1.25
plum,0.36,0.09,0.0,4.15,0.0,5.0,19.84,1.4,1.89,10.56,0.46,0.94,0.0,1.73,5.33,2.33,2.0,2.61,1.71,1.25,0.0,0.0,0.0,1.28,0.0,1.67,0.91,0.0,6.33,0.0,0.0,0.0,0.0,3.34,0.35
pork chop,11.59,13.34,15.33,2.84,18.0,3.57,0.0,36.74,3.11,0.33,1.15,4.06,2.0,2.87,2.58,37.33,12.54,36.11,24.18,8.75,17.08,0.0,0.0,13.92,0.0,5.24,12.18,73.82,8.11,0.0,0.0,0.0,0.0,6.23,10.44
pork tenderloin,2.86,4.45,18.0,0.97,13.22,0.0,0.0,35.8,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port,36.15,83.5,41.0,0.21,23.22,0.0,1.14,47.6,36.33,0.0,50.0,2.39,2.5,1.6,2.0,1.17,18.46,0.38,3.12,4.5,62.5,0.0,4.2,28.8,0.0,5.71,23.64,26.36,2.44,0.48,0.0,0.0,0.0,2.89,2.8
poultry,3.36,3.19,1.67,1.92,16.91,0.36,0.6,1.42,0.11,0.0,0.77,0.5,0.0,0.67,0.5,2.0,4.08,1.78,1.47,0.5,0.0,0.0,0.0,1.6,0.0,0.71,0.73,0.73,2.11,0.0,0.0,0.0,0.0,0.89,0.67
prosciutto,27.44,62.5,29.67,0.0,99.57,0.0,0.0,50.0,0.0,0.0,0.0,7.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prune,0.26,0.08,0.0,23.67,1.0,11.79,78.0,4.2,66.67,4.78,2.38,15.56,0.0,0.0,0.0,3.33,0.0,15.62,0.0,0.0,0.0,0.0,8.6,5.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.13,0.0
pumpkin,0.0,0.0,0.0,3.2,0.17,11.43,6.4,1.6,0.0,0.0,1.85,8.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,0.13,0.16,0.0,1.24,1.7,5.71,3.72,1.36,0.0,16.44,1.92,1.89,0.0,0.0,1.08,1.0,3.0,1.59,4.18,6.25,0.0,0.0,0.0,1.6,0.0,2.38,2.55,1.09,5.56,0.0,0.0,0.0,0.0,4.96,1.18
red wine,0.0,0.0,0.0,0.95,0.17,0.0,1.24,0.14,0.0,0.0,0.62,2.56,0.0,0.0,0.33,0.42,2.38,1.4,3.35,0.25,0.0,0.0,0.0,1.84,0.0,2.86,1.27,0.36,1.22,0.0,0.0,0.0,0.0,2.7,1.04
ricotta,12.13,29.74,13.33,2.18,4.43,0.0,0.58,19.2,13.0,0.0,19.08,1.5,1.0,1.13,0.5,2.67,19.69,0.77,3.53,2.0,22.5,0.0,0.0,13.76,0.0,4.29,8.64,20.18,1.89,0.0,0.0,0.0,0.0,3.79,3.07
root vegetable,0.19,0.12,0.0,6.29,0.22,11.79,5.8,3.06,0.0,3.33,3.15,4.44,0.0,2.53,1.33,0.83,2.31,1.88,14.12,5.75,0.0,0.0,6.42,4.08,0.0,9.05,3.0,1.27,8.56,10.09,0.0,0.0,0.0,6.55,2.13
rosemary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saffron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salad,5.91,8.2,0.0,9.82,7.74,9.29,34.2,5.26,39.44,43.89,5.08,5.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sandwich,14.87,19.35,9.67,9.38,30.87,4.64,7.74,14.2,6.47,0.0,12.38,9.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sauce,0.0,0.0,0.0,8.07,186.09,0.0,33.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scallop,16.08,8.8,8.33,5.14,20.26,1.79,0.4,22.16,0.33,0.0,1.46,6.56,0.0,15.0,10.0,12.5,6.46,9.59,3.71,8.25,39.17,0.0,0.0,22.16,0.0,5.24,7.64,23.27,5.0,0.0,0.0,0.0,0.0,3.83,10.24
sesame,57.95,31.0,0.0,3.13,43.48,3.57,16.64,6.2,0.22,0.0,1.46,3.33,0.0,33.33,46.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96,0.0,0.0,0.91,2.91,0.0,0.0,0.0,0.0,0.0,3.34,0.73
shellfish,8.55,6.17,46.67,1.78,15.13,0.71,0.14,30.92,7.0,0.0,4.92,2.94,0.5,16.07,4.67,5.58,3.08,13.63,10.12,6.0,42.92,0.0,0.0,21.84,0.0,6.19,10.09,60.55,23.0,0.0,0.0,0.0,0.0,2.79,16.45
sherry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soy,9.42,5.51,0.0,19.33,36.61,12.5,3.6,53.0,0.0,0.0,13.15,28.89,0.0,6.73,9.92,27.75,26.85,18.61,30.18,60.0,0.0,0.0,0.0,0.56,0.0,40.48,13.64,22.0,272.89,0.0,0.0,0.0,0.0,0.15,20.16
steak,0.0,0.0,0.0,40.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sugar conscious,0.4,0.0,0.0,36.13,0.04,0.0,198.44,0.0,0.0,0.0,0.08,0.28,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,1.09,0.78,0.0,0.0,0.0,0.0,0.04,0.0
sweet potato,1.64,1.6,4.67,5.96,7.52,6.79,8.34,10.9,176.33,5.33,2.0,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tofu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tortillas,3.62,1.75,0.0,16.65,2.0,22.5,1.4,21.2,0.0,0.0,5.38,3.5,0.0,0.0,0.0,0.0,0.0,0.0,20.71,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tuna,4.83,2.35,1.67,3.78,19.26,3.21,11.32,11.32,12.57,6.33,2.92,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
veal,10.95,17.93,18.33,2.45,6.39,1.79,1.02,35.64,4.78,1.56,1.08,5.83,2.5,3.87,13.92,8.25,20.54,33.32,23.59,4.25,66.67,0.0,0.0,11.36,0.0,5.71,10.55,32.55,14.22,0.0,0.0,0.0,0.0,4.49,15.98
vegetable,0.26,0.18,0.0,2.47,1.35,5.36,5.14,4.6,33.67,6.33,2.15,4.61,0.0,3.47,20.42,5.08,5.31,4.87,5.88,10.0,0.0,0.0,5.2,2.24,0.0,5.0,2.36,1.27,7.78,0.0,0.0,0.0,0.0,3.57,2.44
watercress,3.64,3.72,0.67,0.49,7.52,1.79,0.42,4.8,18.89,34.78,9.62,1.17,0.0,9.67,218.75,7.0,9.15,1.24,8.53,1.75,0.0,0.0,0.0,5.04,0.0,5.24,1.09,1.64,8.89,0.0,0.0,0.0,0.0,7.32,1.75
wheat,5.81,3.48,0.0,17.29,19.57,14.29,11.46,21.34,0.0,0.22,9.62,20.0,0.0,1.27,4.08,34.25,19.38,34.94,6.53,21.25,0.0,0.0,0.0,10.32,0.0,9.76,9.45,52.36,16.44,0.0,0.0,0.0,0.0,3.0,3.4
wok,128.21,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.67,59.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
yogurt,4.51,11.0,5.0,1.6,2.09,0.0,6.16,7.04,70.67,0.0,10.15,0.0,0.0,0.0,0.0,0.0,11.54,0.0,0.0,0.0,15.42,0.0,0.0,0.0,0.0,3.1,5.64,0.0,0.0,0.0,0.0,0.0,0.0,3.28,0.0
lamb,26.28,49.1,23.67,0.0,3.3,0.0,0.0,34.0,0.0,0.0,0.0,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
